lina,2025-05-27 19:31:20,0
lina,2025-05-27 19:31:45,0
lina,2025-05-27 19:35:32,0
lina,2025-05-27 19:36:16,0
lina,2025-05-27 19:36:47,0
lina,2025-05-28 14:23:19,0
lina,2025-05-28 14:23:24,0
lina,2025-05-28 14:23:30,0
lina,2025-05-28 14:26:11,10
lina,2025-05-28 14:32:12,10
lina,2025-05-28 14:36:34,20
lina,2025-05-28 14:36:39,10
lina,2025-05-28 14:47:42,10
lina,2025-05-28 14:47:55,40
lina,2025-05-28 14:57:14,0
lina,2025-05-28 15:03:24,10
lina,2025-05-28 15:03:31,20
lina,2025-05-28 15:03:39,40
lina,2025-05-28 15:05:54,50
lina,2025-05-28 15:05:58,30
lina,2025-05-28 15:06:02,10
lina,2025-05-28 15:06:08,10
lina,2025-05-28 15:06:12,0
lina,2025-05-28 15:17:22,20
lina,2025-05-28 15:17:28,10
lina,2025-05-28 15:17:37,10
lina,2025-05-28 15:17:49,20
lina,2025-05-28 15:21:24,0
lina | 0 | Medium | 2025-05-29 14:20:03
lina | 10 | Easy | 2025-05-29 14:24:08
lina | 0 | Easy | 2025-05-29 14:24:21
lina | 40 | Easy | 2025-05-29 14:24:46
lina | 0 | Easy | 2025-05-29 14:30:07
lina | 0 | Easy | 2025-05-29 14:30:19
lina | 0 | Easy | 2025-05-29 14:36:00
lina | 0 | Easy | 2025-05-29 14:51:13
lina | 30 | Easy | 2025-05-29 14:54:25
lina | 110 | Easy | 2025-05-29 14:55:10
lina | 10 | Easy | 2025-05-29 14:55:16
lina | 10 | Easy | 2025-05-29 14:57:34
lina | 30 | Easy | 2025-05-29 14:57:54
lina | 20 | Easy | 2025-05-29 14:58:02
lina | 10 | Easy | 2025-05-29 15:03:39
lina | 0 | Easy | 2025-05-29 15:14:56
lina | 0 | Easy | 2025-05-29 15:15:04
lina | 0 | Easy | 2025-05-29 15:15:11
lina | 90 | Easy | 2025-05-29 15:15:19
lina | 10 | Extreme | 2025-05-29 15:17:00
lina | 10 | Extreme | 2025-05-29 15:17:03
lina | 10 | Extreme | 2025-05-29 15:17:05
lina | 0 | Extreme | 2025-05-29 15:17:10
lina | 0 | Hard | 2025-05-29 15:17:30
lina | 20 | Medium | 2025-05-29 15:17:51
lina | 0 | Medium | 2025-05-29 15:18:10
lina | 0 | Hard | 2025-05-29 15:18:25
lina | 0 | Extreme | 2025-05-29 15:18:43
lina | 60 | Easy | 2025-05-29 17:02:09
lina | 40 | Easy | 2025-05-29 17:02:14
lina | 20 | Medium | 2025-05-29 17:02:36
lina | 30 | Medium | 2025-05-29 17:04:01
lina | 20 | Medium | 2025-05-29 17:04:10
lina | 80 | Medium | 2025-05-29 17:04:23
lina | 20 | Medium | 2025-05-29 17:04:28
lina | 40 | Medium | 2025-05-29 17:04:34
lina | 40 | Easy | 2025-05-29 17:10:28
lina | 20 | Easy | 2025-05-29 17:10:36
lina | 50 | Easy | 2025-05-29 17:12:50
lina | 120 | Easy | 2025-05-29 17:28:19
lina | 30 | Easy | 2025-05-29 17:30:36
